First name: Your name
Last name: Your last name
Date of test: YYYYMMDD
Serial number: GE1/1-X-S-SITE-0000
Req=4.660 MOhm	Time window=60 s

Vset	Vmon	Iset	Imon	R calc	R norm	Counts	Rate	Rate Err.
(V)	(V)	(uA)	(uA)	(MOhm)			(Hz)	(Hz)
200.000	199.600	42.918	41.150	4.851	1.041	0.000	0.000	0.000
400.000	399.800	85.837	81.150	4.927	1.057	0.000	0.000	0.000
600.000	600.000	128.755	121.200	4.950	1.062	0.000	0.000	0.000
800.000	800.000	171.674	161.200	4.963	1.065	0.000	0.000	0.000
1000.000	1000.200	214.592	201.350	4.967	1.066	0.000	0.000	0.000
1200.000	1200.200	257.511	241.450	4.971	1.067	0.000	0.000	0.000
1400.000	1400.200	300.429	281.550	4.973	1.067	0.000	0.000	0.000
1600.000	1600.200	343.348	321.750	4.973	1.067	0.000	0.000	0.000
1800.000	1800.200	386.266	361.950	4.974	1.067	0.000	0.000	0.000
2000.000	2000.000	429.185	402.150	4.973	1.067	0.000	0.000	0.000
2200.000	2199.800	472.103	442.400	4.972	1.067	0.000	0.000	0.000
2400.000	2400.000	515.021	482.700	4.972	1.067	0.000	0.000	0.000
2600.000	2600.000	557.940	523.000	4.971	1.067	0.000	0.000	0.000
2800.000	2800.000	600.858	563.300	4.971	1.067	0.000	0.000	0.000
3000.000	3000.000	643.777	603.750	4.969	1.066	0.000	0.000	0.000
3100.000	3100.000	665.236	624.000	4.968	1.066	0.000	0.000	0.000
3200.000	3200.000	686.695	644.200	4.967	1.066	0.000	0.000	0.000
3300.000	3300.000	708.155	664.450	4.967	1.066	0.000	0.000	0.000
3400.000	3400.000	729.614	684.650	4.966	1.066	0.000	0.000	0.000
3500.000	3500.000	751.073	704.900	4.965	1.066	0.000	0.000	0.000
3600.000	3600.200	772.532	725.250	4.964	1.065	0.000	0.000	0.000
3700.000	3700.200	793.991	745.550	4.963	1.065	0.000	0.000	0.000
3800.000	3800.400	815.451	765.850	4.962	1.065	0.000	0.000	0.000
3900.000	3900.200	836.910	786.200	4.961	1.065	0.000	0.000	0.000
4000.000	4000.200	858.369	806.500	4.960	1.064	0.000	0.000	0.000
4100.000	4100.200	879.828	826.900	4.959	1.064	0.000	0.000	0.000
4200.000	4200.400	901.288	847.300	4.957	1.064	0.000	0.000	0.000
4300.000	4300.400	922.747	867.750	4.956	1.063	0.000	0.000	0.000
4400.000	4400.200	944.206	888.150	4.954	1.063	0.000	0.000	0.000
4500.000	4500.400	965.665	908.700	4.953	1.063	0.000	0.000	0.000
4600.000	4600.400	987.124	929.250	4.951	1.062	0.000	0.000	0.000
4700.000	4700.400	1008.584	949.800	4.949	1.062	0.000	0.000	0.000
4800.000	4800.600	1030.043	970.450	4.947	1.062	0.000	0.000	0.000
4900.000	4900.400	1051.502	991.150	4.944	1.061	0.000	0.000	0.000
