Vmon	Imon	Time	Pressure	Temp	Source Off		Source On		Source Off		SourceOn	
					Counts	Err	Counts	Err	Current	Err	Current	Error
(V)	(uA)	(HH.MM)	(mBar)	(Deg C)	(N)	(N)	(N)	(N)	(A)	(A)	(A)	(A)
3.321200E+3	7.200000E+2	1.000000E+1	1.002000E+3	2.620000E+1	2.430000E+2	1.558846E+1	3.567050E+5	5.972479E+2	-5.975608E-11	4.074785E-13	-1.783695E-8	3.259620E-10
3.275000E+3	7.100000E+2	1.000000E+1	1.002000E+3	2.620000E+1	1.620000E+2	1.272792E+1	3.565830E+5	5.971457E+2	-5.011771E-11	3.072062E-13	-6.018431E-9	7.290526E-11
3.228800E+3	7.000000E+2	1.000000E+1	1.002000E+3	2.620000E+1	1.140000E+2	1.067708E+1	3.590130E+5	5.991769E+2	-4.441517E-11	3.259619E-13	-3.000473E-9	1.945662E-11
3.183000E+3	6.900000E+2	1.000000E+1	1.002000E+3	2.620000E+1	8.700000E+1	9.327379E+0	3.598940E+5	5.999117E+2	-3.985633E-11	4.413472E-13	-1.850635E-9	7.187575E-12
3.137400E+3	6.800000E+2	1.000000E+1	1.002000E+3	2.620000E+1	5.480000E+2	2.340940E+1	3.577450E+5	5.981179E+2	-3.559080E-11	2.522929E-13	-1.263093E-9	3.596674E-12
3.091600E+3	6.700000E+2	1.000000E+1	1.002000E+3	2.620000E+1	1.455000E+3	3.814446E+1	3.479870E+5	5.899042E+2	-3.227342E-11	2.779083E-13	-9.214045E-10	2.486185E-12
3.045800E+3	6.600000E+2	1.000000E+1	1.002000E+3	2.620000E+1	2.859000E+3	5.346962E+1	3.306040E+5	5.749817E+2	-2.954948E-11	2.997161E-13	-6.929895E-10	1.986482E-12
3.000200E+3	6.500000E+2	1.000000E+1	1.002000E+3	2.620000E+1	3.654000E+3	6.044833E+1	2.970420E+5	5.450156E+2	-2.700517E-11	3.147905E-13	-5.343190E-10	1.505572E-12
2.954200E+3	6.400000E+2	1.000000E+1	1.002000E+3	2.620000E+1	4.502000E+3	6.709694E+1	2.559010E+5	5.058666E+2	-2.440629E-11	2.918113E-13	-4.186268E-10	1.148308E-12
2.908600E+3	6.300000E+2	1.000000E+1	1.002000E+3	2.620000E+1	1.236100E+4	1.111800E+2	1.872590E+5	4.327343E+2	-2.217121E-11	2.578420E-13	-3.275613E-10	8.876523E-13
2.862400E+3	6.200000E+2	1.000000E+1	1.002000E+3	2.620000E+1	2.322100E+4	1.523844E+2	1.164550E+5	3.412550E+2	-2.053184E-11	2.833914E-13	-2.582146E-10	6.956486E-13
